Date,Open,High,Low,Close,Adj Close,Volume
2018-02-13,20.854000,21.080000,20.850000,21.055000,19.217470,155400
2018-02-14,20.575001,21.360001,20.555000,21.337500,19.475315,115400
2018-02-15,21.424999,21.430000,21.028999,21.299999,19.441086,256200
2018-02-16,21.110001,21.415001,21.090000,21.270000,19.413706,154600
2018-02-20,20.615000,20.740000,20.440001,20.500000,18.710905,721600
2018-02-21,20.525000,20.549999,20.184999,20.215000,18.450779,246400
2018-02-22,20.584999,20.687500,20.350000,20.445000,18.660704,383800
2018-02-23,20.721500,20.750000,20.205000,20.490000,18.701778,1157800
2018-02-26,20.846500,20.910000,20.650000,20.887501,19.064589,233200
2018-02-27,20.465000,20.525000,20.209999,20.254999,18.487288,211400
2018-02-28,20.240000,20.250000,19.879999,19.879999,18.145014,676600
2018-03-01,19.655001,19.764999,19.350000,19.520000,17.816435,392400
2018-03-02,19.424999,19.610001,19.275000,19.582500,17.873480,442800
2018-03-05,19.230000,19.600000,19.160000,19.594999,17.884886,329600
2018-03-06,20.021500,20.105000,19.900000,20.022499,18.275076,316400
2018-03-07,19.634001,19.855000,19.580000,19.795000,18.067432,322000
2018-03-08,19.635000,19.809999,19.570000,19.750000,18.026360,215400
2018-03-09,19.700001,19.764999,19.670000,19.750000,18.026360,163000
2018-03-12,19.885000,19.975000,19.775000,19.830000,18.099379,139800
2018-03-13,19.985001,19.990000,19.299999,19.325001,17.638453,264600
2018-03-14,19.910000,19.955000,19.709999,19.875000,18.140451,404800
2018-03-15,20.171499,20.295000,20.108999,20.187500,18.425678,296600
2018-03-16,20.194000,20.459999,20.125000,20.180000,18.418833,166800
2018-03-19,20.049999,20.049999,19.695000,19.762501,18.037769,809600
2018-03-20,19.764999,19.985001,19.764999,19.875000,18.140451,942200
2018-03-21,19.795000,19.875000,19.665501,19.785000,18.058306,503000
2018-03-22,19.511499,19.590000,19.264999,19.370001,17.679525,568800
2018-03-23,19.285000,19.340000,18.905001,18.934999,17.282488,303800
2018-03-26,19.682501,19.825001,19.426500,19.817499,18.087969,363000
2018-03-27,20.027500,20.049999,19.434999,19.520000,17.816435,149600
2018-03-28,19.321501,19.500000,19.200001,19.315001,17.629326,245000
2018-03-29,20.091499,20.120001,19.895000,20.020000,18.272797,166400
2018-04-02,19.986500,20.125000,19.399500,19.735001,18.012671,286000
2018-04-03,20.004999,20.245001,19.910000,20.245001,18.478161,199000
2018-04-04,19.661501,20.145000,19.639999,20.090000,18.336687,196800
2018-04-05,20.354000,20.459999,20.280001,20.325001,18.551178,140400
2018-04-06,20.215000,20.340000,20.035000,20.105000,18.350378,182800
2018-04-09,20.254999,20.317499,20.120001,20.120001,18.364069,116800
2018-04-10,21.100000,21.150000,20.754999,20.922501,19.096533,400800
2018-04-11,21.202499,21.290001,21.000000,21.049999,19.212904,421200
2018-04-12,21.475000,21.565001,21.290001,21.520000,19.641888,427000
2018-04-13,21.422501,21.500000,21.260000,21.424999,19.555178,147800
2018-04-16,21.245001,21.264999,21.040001,21.157499,19.311024,188000
2018-04-17,21.215000,21.410000,21.174999,21.400000,19.532360,297200
2018-04-18,21.260000,21.480000,21.235001,21.315001,19.454779,814200
2018-04-19,21.278999,21.285000,21.014000,21.115000,19.272232,932400
2018-04-20,20.980000,20.985001,20.745001,20.777500,18.964188,663000
2018-04-23,20.580000,20.605000,20.400000,20.485001,18.697216,611400
2018-04-24,20.575001,20.670000,20.264999,20.344999,18.569433,675800
2018-04-25,20.094999,20.180000,19.941000,20.065001,18.313869,760200
2018-04-26,20.751499,20.770000,20.440001,20.545000,18.751978,140600
2018-04-27,20.405001,20.545000,20.325001,20.522499,18.731441,475800
2018-04-30,20.209999,20.445000,20.209999,20.315001,18.542051,105600
2018-05-01,20.350000,20.350000,20.004999,20.250000,18.482723,65800
2018-05-02,20.775000,20.870001,20.594999,20.660000,18.856941,204000
2018-05-03,20.500000,20.629999,20.410000,20.577499,18.781641,134600
2018-05-04,20.047501,20.315001,20.040001,20.264999,18.496414,129000
2018-05-07,20.350000,20.430000,20.299999,20.385000,18.605942,183200
2018-05-08,20.170000,20.290001,20.110001,20.200001,18.437088,73600
2018-05-09,20.004999,20.065001,19.885000,19.961500,18.219402,148200
2018-05-10,19.910000,20.160000,19.910000,20.160000,18.400579,240400
2018-05-11,20.125000,20.219999,20.125000,20.200001,18.437088,190000
2018-05-14,20.149000,20.237499,20.065001,20.080000,18.327560,140000
2018-05-15,20.105000,20.230000,20.070000,20.174999,18.414268,87800
2018-05-16,20.069000,20.129999,19.951000,20.020000,18.272797,128000
2018-05-17,20.150000,20.174999,20.030001,20.094999,18.341251,75000
2018-05-18,20.089001,20.160000,20.014999,20.094999,18.341251,102200
2018-05-21,20.254999,20.375000,19.969999,20.275000,18.505543,85000
2018-05-22,20.344999,20.365000,20.195000,20.280001,18.510105,115200
2018-05-23,19.875000,19.945000,19.750000,19.945000,18.204342,95400
2018-05-24,19.400000,19.639999,19.285000,19.600000,17.889450,315800
2018-05-25,19.440001,19.504999,19.282499,19.504999,17.802740,158800
2018-05-29,18.725000,19.512501,18.475000,18.670000,17.040615,608400
2018-05-30,18.791500,19.049999,18.700001,18.924999,17.273359,230000
